kod;nazev;odkaz;volici;obalky;hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
585882;⁄jezd;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585882&xvyber=7204;980;566;561;24;0;1;50;1;81;40;7;3;8;0;2;57;0;9;119;0;3;81;4;0;5;62;4
585891;ValaöskÈ Klobouky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585891&xvyber=7204;4†050;2†496;2†481;235;4;0;152;1;225;156;22;12;43;4;4;224;0;55;647;2;0;446;6;0;0;234;9
585912;Velk˝ O¯echov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585912&xvyber=7204;607;437;435;45;1;0;18;0;15;26;1;0;4;0;1;21;0;8;149;0;0;55;2;0;2;82;5
585921;Vesel·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585921&xvyber=7204;651;445;442;49;1;0;41;0;30;16;3;2;7;2;0;38;4;14;125;0;0;40;3;1;1;63;2
585939;Vizovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585939&xvyber=7204;3†872;2†402;2†381;293;15;2;129;0;216;113;34;9;25;4;3;250;3;96;611;2;3;252;9;2;2;273;35
586994;Vlachova Lhota;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=586994&xvyber=7204;189;99;98;17;0;0;9;0;18;6;0;1;1;0;0;5;0;1;19;0;0;12;0;1;0;8;0
585955;Vlachovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585955&xvyber=7204;1†216;768;761;34;0;0;48;1;110;55;6;7;8;0;1;39;1;17;234;0;1;130;3;0;1;62;3
585963;VlËkov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585963&xvyber=7204;328;207;206;18;3;0;16;0;11;12;0;6;1;0;0;16;0;6;64;0;1;17;1;1;1;31;1
585971;Vöemina;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585971&xvyber=7204;915;602;601;39;0;1;43;0;18;24;5;3;7;0;3;31;0;11;208;0;0;122;3;1;0;70;12
585980;VysokÈ Pole;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585980&xvyber=7204;658;366;365;6;0;0;32;0;61;15;5;2;3;1;0;24;0;6;103;0;0;71;0;1;0;35;0
585998;Z·dve¯ice-Rakov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585998&xvyber=7204;1†149;706;699;75;1;2;55;1;58;44;9;3;9;0;1;60;0;23;220;0;0;26;7;2;1;91;11
585068;ZlÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585068&xvyber=7204;61†206;39†202;38†975;4†438;137;42;2†411;28;3†060;1†828;533;192;802;42;44;3†794;30;1†690;11†686;31;64;2†970;359;70;26;4†403;295
500011;éelechovice nad D¯evnicÌ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=500011&xvyber=7204;1†598;1†041;1†032;113;0;1;84;2;88;40;8;6;16;1;1;98;1;38;264;0;2;110;7;0;0;144;8
586013;élutava;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=586013&xvyber=7204;916;624;621;86;5;0;30;0;25;40;4;3;17;0;0;58;0;10;211;1;0;42;19;1;1;63;5
