kod;nazev;odkaz;volici;obalky;hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
590045;Srbce;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590045&xvyber=7103;73;39;39;2;0;0;1;0;6;11;0;0;3;0;0;0;0;1;7;0;0;0;0;0;0;0;8;0
590053;Sta¯echovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590053&xvyber=7103;447;279;278;23;1;0;26;0;17;30;1;1;6;0;0;11;0;9;82;0;3;13;0;1;1;1;52;0
590061;StÌnava;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590061&xvyber=7103;126;74;73;3;0;0;7;0;1;7;0;0;0;0;0;5;1;3;11;0;0;22;0;0;0;0;13;0
590070;Straûisko;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590070&xvyber=7103;345;222;220;3;1;0;20;0;4;25;1;1;2;0;0;14;0;2;83;0;0;30;0;0;0;0;34;0
590088;Suchdol;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590088&xvyber=7103;499;360;356;18;0;0;41;2;12;25;3;1;3;0;0;31;1;4;71;0;0;100;1;1;3;1;38;0
590096;äubÌ¯ov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590096&xvyber=7103;204;110;109;6;0;0;9;0;6;14;2;1;1;0;1;12;0;2;37;0;0;7;0;0;0;0;11;0
590100;TiötÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590100&xvyber=7103;393;215;215;6;1;0;32;0;17;15;5;0;4;2;0;6;0;3;63;0;0;14;0;1;0;1;43;2
590118;Tvorovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590118&xvyber=7103;252;152;152;9;0;0;9;0;14;22;1;1;0;0;0;8;0;1;38;0;0;18;0;1;0;3;24;3
590126;UrËice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590126&xvyber=7103;1†101;613;611;68;0;5;35;1;29;69;18;5;11;0;1;38;0;12;158;1;0;35;0;6;0;4;110;5
590134;VÌcemÏ¯ice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590134&xvyber=7103;354;204;204;11;0;0;33;0;3;19;1;2;1;0;0;18;1;5;56;0;0;13;0;3;0;4;33;1
590142;VÌcov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590142&xvyber=7103;404;254;250;17;0;0;11;1;5;24;4;4;3;1;0;20;0;6;69;0;0;40;0;0;0;3;41;1
544710;Vincencov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=544710&xvyber=7103;109;80;80;3;0;0;5;0;5;5;1;0;1;0;0;9;0;3;15;0;1;17;0;0;0;0;15;0
590151;VitËice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590151&xvyber=7103;146;84;84;6;1;1;5;0;3;5;0;2;0;0;0;6;0;0;33;0;1;6;0;0;0;0;15;0
590177;Vranovice-KelËice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590177&xvyber=7103;492;321;318;23;1;0;17;0;7;22;1;0;5;0;0;14;1;6;135;0;0;43;0;0;0;0;43;0
590185;Vrb·tky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590185&xvyber=7103;1†306;863;857;68;1;1;60;1;31;85;7;6;11;4;1;68;0;14;287;0;1;79;0;2;1;5;119;5
590193;Vrchoslavice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590193&xvyber=7103;478;282;275;17;0;0;20;0;16;31;3;1;3;1;0;18;0;4;87;2;2;15;0;4;1;1;49;0
590207;V¯esovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590207&xvyber=7103;419;281;280;15;0;0;16;0;8;41;3;0;1;0;0;14;0;8;61;0;2;69;0;0;1;1;40;0
590215;V˝öovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590215&xvyber=7103;399;266;263;28;0;2;25;0;2;25;3;1;3;1;1;21;1;16;69;0;0;21;0;1;1;1;41;0
590223;ZdÏtÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590223&xvyber=7103;282;196;194;6;0;0;21;0;13;16;1;0;0;1;0;21;0;2;53;0;1;18;0;0;0;2;38;1
590240;éeleË;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590240&xvyber=7103;436;278;278;21;0;0;15;0;17;49;3;7;2;2;0;17;0;2;67;0;0;28;0;0;0;1;47;0
